Lugar,Pais,Monto
1,Estados Unidos,26 949 643
2,China,17 700 899
—,Unión Europea 5​,16 641 391
3,Alemania,4 429 838
4,Japón,4 230 862
5,India,3 732 224
6,Reino Unido,3 332 059
7,Francia,3 049 016
8,Italia,2 186 082
9,Brasil,2 126 809
10,Canadá,2 117 805
11,Rusia,1 862 470
12,México,1 811 468
13,Corea del Sur,1 709 232
14,Australia,1 687 713
15,España,1 582 054
16,Indonesia,1 417 387
17,Turquía,1 154 600
18,Países Bajos,1 092 748
19,Arabia Saudita,1 069 437
20,Suiza,905 684
21,Polonia,842 172
22,Taiwán,751 930
23,Bélgica,627 511
24,Argentina,621 833
25,Suecia,597 110
26,Irlanda,589 569
27,Noruega,546 768
28,Austria,526 182
29,Israel,521 688
30,Tailandia,512 193
31,Emiratos Árabes Unidos,509 179
32,Singapur,497 347
33,Bangladés,446 349
34,Filipinas,435 675
35,Vietnam,433 356
36,Malasia,430 895
37,Dinamarca,420 800
38,Egipto,398 397
39,Nigeria,390 002
40,Hong Kong,385 546
41,Sudáfrica,380 906
42,Irán,366 438
43,Colombia,363 835
44,Rumania,350 414
45,Chile,344 400
46,Pakistán,340 636
47,República Checa,335 243
48,Finlandia,305 689
49,Irak,297 695
50,Portugal,276 432
51,Perú,264 636
52,Kazajistán,259 292
53,Nueva Zelanda,249 415
54,Grecia,242 385
55,Catar,235 500
56,Argelia,224 107
57,Hungría,203 829
58,Ucrania,173 413
59,Kuwait,159 687
60,Etiopía,155 804
61,Marruecos,147 343
62,Eslovaquia,133 044
63,República Dominicana,120 629
64,Ecuador,118 686
65,Puerto Rico,117 515
66,Kenia,112 749
67,Omán,108 282
68,Bulgaria,103 099
69,Guatemala,102 765
70,Angola,93 796
71,Venezuela,92 210
72,Uzbekistán,90 392
73,Luxemburgo,89 095
74,Costa Rica,85 590
75,Tanzania,84 033
76,Panamá,82 348
77,Turkmenistán,81 822
78,Croacia,80 185
79,Costa de Marfil,79 430
80,Lituania,79 427
81,Azerbaiyán,77 392
82,Ghana,76 628
83,Uruguay,76 244
84,Serbia,75 015
85,Birmania,74 861
86,Bielorrusia,68 864
87,Eslovenia,68 394
88,República Democrática del Congo,67 512
89,Uganda,52 390
90,Túnez,51 271
91,Jordania,50 022
92,Camerún,49 262
93,Bolivia,46 796
94,Letonia,46 668
95,Baréin,44 994
96,Paraguay,44 142
97,Estonia,41 799
98,Nepal,41 339
99,Libia,40 194
100,Macao,38 480
101,El Salvador,35 339
102,Honduras,33 992
103,Zimbabue,32 424
104,Chipre,32 032
105,Papúa Nueva Guinea,31 692
106,Senegal,31 141
107,Camboya,30 943
108,Islandia,"30,57"
109,Georgia,30 023
110,Zambia,29 536
111,Trinidad y Tobago,27 887
112,Bosnia y Herzegovina,26 945
113,Haití,25 986
114,Sudán,25 569
115,Armenia,24 540
116,Guinea,23 205
117,Albania,23 032
118,Mozambique,21 936
119,Mali,21 309
120,Yemen,21 045
121,Burkina Faso,20 785
122,Botsuana,20 756
123,Malta,20 311
124,Benín,19 940
125,Gabón,19 319
126,Palestina,18 109
127,Mongolia,18 782
128,Jamaica,18 761
129,Nicaragua,17 353
130,Níger,17 073
131,Guyana,16 329
132,Moldavia,16 000
133,Macedonia del Norte,15 801
134,Madagascar,15 763
135,Brunéi,15 153
136,Mauricio,14 819
137,República del Congo,14 407
138,Laos,14 244
139,Ruanda,13 927
140,Bahamas,13 876
141,Malaui,13 176
142,Kirguistán,12 681
143,Namibia,12 647
144,Chad,12 596
145,Tayikistán,11 816
146,Somalia,11 515
147,Kosovo,10 469
148,Mauritania,10 357
149,Guinea Ecuatorial,10 041
150,Togo,9111
151,Montenegro,7058
152,Maldivas,6977
153,Sudán del Sur,6267
154,Barbados,6220
155,Fiyi,5511
156,Suazilandia,4648
157,Liberia,4347
158,Yibuti,3873
159,Aruba,3827
160,Andorra,3692
161,Surinam,3539
162,Sierra Leona,3519
163,Belice,3218
164,Burundi,3190
165,República Centroafricana,2760
166,Bután,2686
167,Cabo Verde,2598
168,Santa Lucía,2469
169,Gambia,2388
170,Lesoto,2373
171,Eritrea,2484
172,Seychelles,2085
173,Timor Oriental,2023
174,San Marino,1998
175,Guinea-Bisáu,1991
176,Antigua y Barbuda,1949
177,Islas Salomón,1690
178,Comoras,1364
179,Granada,1306
180,Vanuatu,1166
181,San Cristóbal y Nieves,1069
182,San Vicente y las Granadinas,1039
183,Samoa,939
184,Dominica,697
185,Santo Tomé y Príncipe,674
186,Tonga,547
187,Micronesia,458
188,Islas Marshall,277
189,Palaos,267
190,Kiribati,246
191,Nauru,150
192,Tuvalu,63